data,DF,GO,MG,MS,MT,PR,RN,RR,RS,SC,TO
2020-07-07,,3.0,,1.0,,,5.0,2.0,4.0,,
2020-07-08,,2.0,,1.0,,4.0,,3.0,5.0,,
2020-07-09,,3.0,5.0,2.0,,4.0,,,1.0,,
2020-07-10,,2.0,4.0,,5.0,3.0,,,1.0,,
2020-07-11,,2.0,,4.0,,3.0,,,1.0,5.0,
2020-07-12,,3.0,,5.0,,4.0,,,2.0,,1.0
2020-07-13,4.0,,,,,3.0,,,2.0,5.0,1.0
2020-07-14,5.0,,,1.0,,3.0,,,2.0,,4.0
2020-07-15,,,5.0,4.0,,1.0,,,2.0,3.0,
2020-07-16,4.0,,,3.0,,2.0,,,5.0,1.0,
2020-07-17,3.0,,,,,2.0,,,4.0,1.0,5.0
2020-07-18,5.0,,,,,3.0,,,2.0,1.0,4.0
2020-07-19,,,,5.0,,3.0,,,2.0,1.0,4.0
2020-07-20,,,4.0,5.0,,,,,2.0,1.0,3.0
